employee_id,store_id,name,role,join_date,salary,performance_score,is_active
E00001,S0085,Devika Pandey,Warehouse Staff,2022-01-28,108836,3.4,True
E00002,S0057,Yashica Kala,Store Manager,2021-10-30,61548,4.5,False
E00003,S0075,Vasatika Kapur,Customer Service Rep,2019-03-12,21000,4.7,True
E00004,S0105,Inaya Pillai,Sales Associate,2020-11-07,95065,2.6,True
E00005,S0101,Arya Kara,Visual Merchandiser,2023-02-16,117422,2.6,True
E00006,S0107,Atharv Loke,Store Manager,2019-05-20,116206,4.7,True
E00007,S0130,Pranit Mahajan,Cashier,2023-08-06,15568,3.6,True
E00008,S0111,Harinakshi Panchal,Warehouse Staff,2023-09-14,117377,4.8,True
E00009,S0149,Pratyush Dhar,Cashier,2019-06-10,28573,3.2,True
E00010,S0083,Ekaraj Dhar,Security,2022-09-11,94822,4.7,True
E00011,S0071,Gavin Wali,Security,2021-11-05,53557,3.4,True
E00012,S0106,Krisha Saini,Stock Associate,2021-07-09,108306,4.2,True
E00013,S0056,Harita Dugar,Visual Merchandiser,2020-05-08,96810,4.1,True
E00014,S0034,Devika Nair,Cashier,2023-08-26,86105,4.1,True
E00015,S0030,Charles Dugal,Customer Service Rep,2023-05-22,91389,3.7,True
E00016,S0107,Chandran Bumb,Stock Associate,2022-09-27,16673,3.6,True
E00017,S0038,Saanvi Samra,Store Manager,2018-08-20,41201,2.8,True
E00018,S0074,Riya Sachdeva,Stock Associate,2019-08-23,23130,4.1,True
E00019,S0139,Tanveer Vala,Store Manager,2022-01-09,74322,2.3,False
E00020,S0144,Hemani Sani,Visual Merchandiser,2022-05-12,46142,3.5,True
E00021,S0074,Bhanumati Sur,Store Manager,2022-04-12,65797,3.2,True
E00022,S0081,Chakradev Kannan,Store Manager,2018-02-23,112474,2.8,True
E00023,S0114,Christopher Amble,Visual Merchandiser,2022-02-15,113973,3.8,True
E00024,S0051,Charvi Kakar,Visual Merchandiser,2021-04-19,73827,2.5,True
