customer_id,name,age,gender,city,region,income_bracket,segment,shopping_frequency,preferred_channel,preferred_category,loyalty_tier,registration_date,is_active,email,phone,app_installed,email_opt_in,sms_opt_in,recency_days,frequency,monetary,avg_order_val,first_purchase,last_purchase,recency_score,frequency_score,monetary_score,rfm_score,customer_lifetime_days,total_browses,avg_dwell_secs,cart_adds,browse_to_buy,wishlist_count,wishlist_bought,cart_count,cart_abandoned,review_count,avg_rating_given,gender_enc,income_bracket_enc,segment_enc,preferred_category_enc,loyalty_tier_enc
C00001,Niharika Bhatti,22,Male,Chandigarh,North,<2L,Student,7.6,WhatsApp,Outerwear,Silver,2018-01-16,True,gaurav55@example.com,913401636112,True,True,False,4,29,136034.1,4690.831034482759,2022-01-01,2024-12-28,5.0,2.0,3.0,10.0,1092,92,115.76086956521739,11,0.10869565217391304,9,4,9,2,16.0,3.625,1,4,8,7,3
C00002,Vrishti Chandran,40,Male,Kolkata,East,10-20L,Family Shopper,2.1,In-App,Tops,Bronze,2018-05-14,True,baghyawati84@example.net,910256258896,False,False,False,32,29,109493.06,3775.6227586206896,2022-01-16,2024-11-30,3.0,2.0,3.0,8.0,1049,76,110.38157894736842,14,0.14473684210526316,13,4,11,3,12.0,3.9166666666666665,1,0,2,8,0
C00003,Joshua Lad,28,Male,Pune,West,<2L,Brand Loyalist,4.6,SMS,Dresses,Bronze,2023-08-17,True,varghesenachiket@example.net,912694053967,True,False,False,9,33,331001.52,10030.34909090909,2022-01-12,2024-12-23,5.0,4.0,5.0,14.0,1076,96,130.63541666666666,13,0.125,7,3,6,2,6.0,4.166666666666667,1,4,0,3,0
C00004,Reva Pandya,34,Male,Surat,West,10-20L,Working Professional,9.1,Email,Tops,Gold,2018-07-06,False,sthakkar@example.com,8341465111,True,True,False,42,30,190144.13,6338.1376666666665,2022-01-20,2024-11-20,2.0,3.0,4.0,9.0,1035,78,122.24358974358974,6,0.14102564102564102,4,3,5,0,16.0,3.8125,1,0,9,8,1
C00005,Girik Gandhi,30,Male,Surat,West,>50L,Luxury Shopper,2.1,Email,Innerwear,Bronze,2020-04-06,True,chadbhavika@example.net,682778816,True,False,False,13,24,87965.97,3665.24875,2022-03-05,2024-12-19,4.0,1.0,2.0,7.0,1020,91,118.5934065934066,14,0.08791208791208792,11,3,13,5,8.0,3.375,1,5,6,6,0
C00006,Ranveer Amble,25,Male,Patna,East,<2L,Student,9.7,In-App,Outerwear,Bronze,2023-04-28,False,vwarrior@example.com,918909728321,False,True,True,73,26,113551.77,4367.375769230769,2022-01-20,2024-10-20,1.0,2.0,3.0,6.0,1004,90,137.83333333333334,19,0.1,11,6,7,0,13.0,4.230769230769231,1,4,8,7,0
C00007,Kiaan Varkey,34,Male,Ahmedabad,West,5-10L,Working Professional,4.0,SMS,Ethnic Wear,Gold,2023-06-10,True,charan67@example.com,915153814474,True,True,True,70,26,171474.91,6595.1888461538465,2022-01-16,2024-10-23,1.0,2.0,4.0,7.0,1011,83,106.07228915662651,16,0.10843373493975904,8,2,6,2,13.0,3.769230769230769,1,3,9,4,1
C00008,Tanay Agate,49,Male,Indore,Central,>50L,Luxury Shopper,1.5,SMS,Footwear,Bronze,2023-01-21,True,tkalla@example.net,797050975,False,False,True,20,32,487515.76,15234.8675,2022-01-26,2024-12-12,3.0,4.0,5.0,12.0,1051,85,110.37647058823529,15,0.12941176470588237,8,4,11,5,6.0,3.0,1,5,6,5,0
C00009,Irya Chhabra,40,Female,Indore,Central,5-10L,Working Professional,11.3,Email,Tops,Bronze,2021-08-28,False,pallaquincy@example.com,167318826,False,True,True,21,33,211630.08000000002,6413.032727272728,2022-02-26,2024-12-11,3.0,4.0,4.0,11.0,1019,99,111.78787878787878,20,0.10101010101010101,12,5,10,5,6.0,3.8333333333333335,0,3,9,8,0
C00010,Vinaya Amble,50,Female,Kochi,South,20-50L,Luxury Shopper,3.1,In-App,Innerwear,Bronze,2019-12-05,True,zashilkara@example.com,5456284177,True,False,False,18,38,164660.02,4333.158421052632,2022-01-25,2024-12-14,4.0,5.0,4.0,13.0,1054,77,119.58441558441558,8,0.12987012987012986,5,1,11,5,15.0,3.8666666666666667,0,2,6,6,0
C00011,Logan Pandya,43,Male,Ahmedabad,West,20-50L,Fashion Enthusiast,9.2,In-App,Ethnic Wear,Bronze,2019-04-07,True,wahluwalia@example.net,911340266502,False,True,False,8,29,112085.48,3865.0165517241376,2022-01-08,2024-12-24,5.0,2.0,3.0,10.0,1081,75,111.46666666666667,15,0.14666666666666667,5,3,10,4,7.0,4.285714285714286,1,2,3,4,0
C00012,Varenya Lata,23,Other,Surat,West,<2L,Budget Shopper,4.6,WhatsApp,Activewear,Silver,2023-02-15,True,samavrinda@example.net,2568621102,True,False,True,34,22,26028.4,1183.109090909091,2022-01-01,2024-11-28,3.0,1.0,1.0,5.0,1062,105,129.1238095238095,16,0.12380952380952381,10,3,8,2,6.0,4.166666666666667,2,4,1,1,3
