customer_id,name,age,gender,city,region,income_bracket,segment,shopping_frequency,preferred_channel,preferred_category,loyalty_tier,registration_date,is_active,email,phone,app_installed,email_opt_in,sms_opt_in
C00001,Niharika Bhatti,22,Male,Chandigarh,North,<2L,Student,7.6,WhatsApp,Outerwear,Silver,2018-01-16,True,gaurav55@example.com,+913401636112,True,True,False
C00002,Vrishti Chandran,40,Male,Kolkata,East,10-20L,Family Shopper,2.1,In-App,Tops,Bronze,2018-05-14,True,baghyawati84@example.net,+910256258896,False,False,False
C00003,Joshua Lad,28,Male,Pune,West,<2L,Brand Loyalist,4.6,SMS,Dresses,Bronze,2023-08-17,True,varghesenachiket@example.net,+912694053967,True,False,False
C00004,Reva Pandya,34,Male,Surat,West,10-20L,Working Professional,9.1,Email,Tops,Gold,2018-07-06,False,sthakkar@example.com,08341465111,True,True,False
C00005,Girik Gandhi,30,Male,Surat,West,>50L,Luxury Shopper,2.1,Email,Innerwear,Bronze,2020-04-06,True,chadbhavika@example.net,00682778816,True,False,False
C00006,Ranveer Amble,25,Male,Patna,East,<2L,Student,9.7,In-App,Outerwear,Bronze,2023-04-28,False,vwarrior@example.com,+918909728321,False,True,True
C00007,Kiaan Varkey,34,Male,Ahmedabad,West,5-10L,Working Professional,4.0,SMS,Ethnic Wear,Gold,2023-06-10,True,charan67@example.com,+915153814474,True,True,True
C00008,Tanay Agate,49,Male,Indore,Central,>50L,Luxury Shopper,1.5,SMS,Footwear,Bronze,2023-01-21,True,tkalla@example.net,0797050975,False,False,True
C00009,Irya Chhabra,40,Female,Indore,Central,5-10L,Working Professional,11.3,Email,Tops,Bronze,2021-08-28,False,pallaquincy@example.com,00167318826,False,True,True
C00010,Vinaya Amble,50,Female,Kochi,South,20-50L,Luxury Shopper,3.1,In-App,Innerwear,Bronze,2019-12-05,True,zashilkara@example.com,05456284177,True,False,False
C00011,Logan Pandya,43,Male,Ahmedabad,West,20-50L,Fashion Enthusiast,9.2,In-App,Ethnic Wear,Bronze,2019-04-07,True,wahluwalia@example.net,+911340266502,False,True,False
C00012,Varenya Lata,23,Other,Surat,West,<2L,Budget Shopper,4.6,WhatsApp,Activewear,Silver,2023-02-15,True,samavrinda@example.net,02568621102,True,False,True
C00013,Hemangini Tella,42,Female,Indore,Central,>50L,Family Shopper,7.6,In-App,Ethnic Wear,Bronze,2021-06-04,True,khalsacharles@example.net,06906744716,True,False,True
C00014,Michael Vaidya,60,Female,Lucknow,North,2-5L,Brand Loyalist,4.5,In-App,Ethnic Wear,Silver,2023-04-02,True,zaidmand@example.org,03637189239,True,False,False
C00015,Veer Dara,60,Female,Kochi,South,10-20L,Brand Loyalist,4.9,In-App,Dresses,Bronze,2021-11-15,True,nandinibarad@example.com,+912609310668,False,False,False
C00016,Vihaan Kapadia,60,Female,Patna,East,<2L,Budget Shopper,5.4,Email,Tops,Silver,2022-12-04,False,pooja70@example.net,00414545635,True,False,False
C00017,Qabil Baria,54,Female,Kolkata,East,2-5L,Seasonal Buyer,2.9,SMS,Tops,Silver,2020-06-19,False,benekanta@example.org,07491624755,True,False,True
C00018,Isaac Chatterjee,61,Female,Patna,East,2-5L,Frequent Buyer,10.0,In-App,Dresses,Bronze,2023-05-04,True,degarima@example.com,5989534396,True,True,False
C00019,Hitesh De,31,Female,Indore,Central,5-10L,Frequent Buyer,15.0,WhatsApp,Footwear,Bronze,2020-06-17,True,barmanrayaan@example.org,7118954738,False,True,True
C00020,Caleb Datta,20,Male,Pune,West,<2L,Budget Shopper,3.6,Push Notification,Innerwear,Bronze,2018-06-17,True,omyakrishnan@example.net,05716176880,True,False,True
C00021,Anusha Dayal,25,Other,Ludhiana,North,<2L,Budget Shopper,2.8,In-App,Outerwear,Silver,2022-01-06,True,chakradev90@example.net,+916788127868,True,True,False
C00022,Nandini Magar,40,Male,Bhopal,Central,5-10L,Working Professional,2.0,WhatsApp,Outerwear,Silver,2018-10-26,True,qarinaggarwal@example.org,3908788443,False,True,False
C00023,Amrita Dani,36,Female,Patna,East,<2L,Budget Shopper,4.2,Push Notification,Ethnic Wear,Bronze,2021-12-05,True,udarshbath@example.net,+914024240338,True,True,True
C00024,Aarav Palan,52,Female,Mumbai,West,<2L,Budget Shopper,4.3,WhatsApp,Ethnic Wear,Silver,2019-03-22,True,ekta18@example.com,2694500534,False,True,False
C00025,Aahana Babu,26,Female,Ludhiana,North,5-10L,Working Professional,9.2,WhatsApp,Ethnic Wear,Platinum,2019-06-19,True,rajaaarini@example.net,9837354396,True,False,False
C00026,Sanaya Kata,31,Male,Lucknow,North,>50L,Family Shopper,3.6,SMS,Accessories,Gold,2022-09-13,True,jpillay@example.com,+917272239724,True,False,False
C00027,Dayita Gaba,20,Male,Ahmedabad,West,>50L,Impulse Buyer,4.6,SMS,Innerwear,Bronze,2018-03-15,False,meeraguha@example.org,+911637618209,False,True,True
C00028,Krishna Rajagopalan,30,Male,Mumbai,West,2-5L,Family Shopper,5.1,SMS,Bottoms,Bronze,2022-11-06,False,choudharyagastya@example.net,+912314290018,True,False,True
C00029,Frederick Jain,48,Male,Surat,West,20-50L,Impulse Buyer,10.0,Email,Ethnic Wear,Gold,2019-04-18,False,varshasawhney@example.org,05723084810,False,True,True
C00030,Harshil Minhas,19,Female,Hyderabad,South,<2L,Student,10.9,SMS,Ethnic Wear,Silver,2020-02-22,True,vaidyaojasvi@example.org,+913036625436,True,True,True
C00031,Vyanjana Gara,48,Male,Ahmedabad,West,2-5L,Frequent Buyer,8.8,Email,Bottoms,Gold,2020-01-20,True,kapurharsh@example.com,01951510922,True,True,False
C00032,Gaurika Golla,35,Female,Agra,North,20-50L,Luxury Shopper,2.3,WhatsApp,Footwear,Silver,2021-10-26,True,qdoctor@example.net,09451475410,True,True,True
C00033,Manan Nagarajan,24,Male,Delhi,North,20-50L,Frequent Buyer,10.4,In-App,Footwear,Silver,2019-03-20,True,madhavisekhon@example.net,01196421522,True,False,True
C00034,Ira Nagar,49,Male,Hyderabad,South,>50L,Luxury Shopper,3.1,Push Notification,Bottoms,Bronze,2023-05-10,False,esamra@example.net,09523668788,False,False,False
C00035,Victor Rajagopalan,62,Female,Delhi,North,10-20L,Brand Loyalist,5.6,SMS,Footwear,Gold,2023-09-03,True,samatheodore@example.net,+913503058721,False,True,False
C00036,Ikshita Patel,20,Male,Hyderabad,South,20-50L,Frequent Buyer,8.4,In-App,Bottoms,Gold,2022-12-02,True,chaitalysharma@example.org,6333021260,False,False,True
